Asset category,Asset Name,Holding,Market Value (£),CU Both,CU Oil and gas,CU Coal,Arms (Sipri top 20)**,Tobacco (est)
Equities,ENTERGY CORP NEW COM,128580,"£6,709,200",No,No,No,No,No
Equities,EOG RESOURCES INC COM,25007,"£1,544,050",No,Yes,No,No,No
Equities,ESSILOR INTL EUR0.18,57104,"£4,410,202",No,No,No,No,No
Equities,ETABLISSEMENTEN COLRUYT ORDSHR,106130,"£3,112,763",No,No,No,No,No
Commodities,ETFS METAL SECURIT ETFS PHYSICAL GOLD (USD),205000,"£15,897,339",No,No,No,No,No
UNLISTED INVESTMENTS,European Clean Energy Fund LP,,"£10,852,139",No,No,No,No,No
UNLISTED INVESTMENTS,European Property Growth Fund,,"£21,704,278",No,No,No,No,No
UNLISTED INVESTMENTS,European Strategic Partners 2008 'A',,"£10,852,139",No,No,No,No,No
UNLISTED INVESTMENTS,European Strategic Partners II 'D',,"£15,627,080",No,No,No,No,No
UNLISTED INVESTMENTS,"European Strategic Partners, 2000 'C'",,"£13,167,262",No,No,No,No,No
Equities,EVEREST RE GROUP COM,46500,"£5,448,127",No,No,No,No,No
Equities,EVERSOURCE ENERGY COM,145900,"£4,965,219",No,No,No,No,No
Equities,EVRAZ GROUP SA ORD USD1,1170000,"£2,194,920",No,No,Yes,No,No
Equities,EXELON CORP COM,704306,"£15,945,924",No,No,No,No,No
Equities,EXPERIAN ORD USD0.10,400341,"£4,471,809",No,No,No,No,No
Equities,EXXON MOBIL CORP COM,64100,"£3,667,669",No,Yes,No,No,No
Equities,FACEBOOK INC CL A CL A,13727,"£760,186",No,No,No,No,No
Equities,FAIRFAX FINL HLDGS SUB-VTG COM NPV,3340,"£1,257,484",No,No,No,No,No
Equities,FERREXPO PLC ORD GBP0.10,1181036,"£744,053",No,No,No,No,No
Equities,FIAT CHRYSLER AUTOMOBILES NV,94026,"£1,030,587",No,No,No,No,No
Equities,FIBRA UNO ADMINISTRACION SA REAL ESTATE INVEST TRUST,2064000,"£3,677,102",No,No,No,No,No
Equities,FIDELITY NATL INFORMATION SVCS INC COM STK,378903,"£17,371,599",No,No,No,No,No
Equities,FINANCIAL ENGINES INC COM,28383,"£799,580",No,No,No,No,No
Equities,FIRST REP BK SAN FRANCISCO CALIF NEW COM,50295,"£1,933,537",No,No,No,No,No
Equities,FLIR SYS INC COM,63170,"£1,331,059",No,No,No,No,No
Equities,FLUGHAFEN ZURICH AG CHF50.00 (REGD),11700,"£6,191,228",No,No,No,No,No
Equities,FORTIS INC COM NPV,203800,"£4,180,887",No,No,No,No,No
Equities,FORTUM OYJ EUR3.40,999154,"£14,131,989",No,No,No,No,No
Equities,FOXTONS GROUP PLC ORD GBP0.01,615858,"£1,264,049",No,No,No,No,No
Equities,FRESENIUS MEDICAL CARE NPV,86297,"£4,841,117",No,No,No,No,No
Equities,FRKLN RES INC COM,139600,"£4,826,051",No,No,No,No,No
Equities,FUGRO NV CVA EUR0.05,132190,"£2,388,038",No,No,No,No,No
Equities,GAZPROM SPON ADR EA REP 2 ORD SHS,405823,"£1,298,524",No,Yes,No,No,No
Equities,GDF SUEZ EUR1,65486,"£871,984",No,Yes,No,No,No
Equities,GDR AXIS BK LTD SPONSORED GDR REG S,45404,"£1,368,696",No,No,No,No,No
Equities,GEM DIAMONDS ORD USD0.01 (DI),310954,"£427,562",No,No,No,No,No
Equities,GEMALTO EUR1,26708,"£1,431,998",No,No,No,No,No
Equities,GEN MTRS CO COM,291700,"£7,366,678",No,No,No,No,No
Equities,GENERAL DYNAMICS CORP COM,58500,"£5,349,134",No,No,No,Yes,No
Equities,GENERAL MILLS INC COM,295348,"£11,260,826",No,No,No,No,No
Equities,GENTING MALAYSIA B MYR0.10,2098400,"£1,599,226",No,No,No,No,No
Equities,GENUINE PARTS CO COM,73400,"£4,608,205",No,No,No,No,No
Equities,GEORGE WESTON COM NPV,79900,"£4,263,330",No,No,No,No,No
UNLISTED INVESTMENTS,"GFP New Zealand Properties III, LLC",,"£5,552,398",No,No,No,No,No
Equities,GIVAUDAN AG CHF10,4295,"£5,248,504",No,No,No,No,No
Equities,GLAXOSMITHKLINE ORD GBP0.25,1423095,"£21,993,933",No,No,No,No,No
Equities,GLOBAL PMTS INC COM,14963,"£923,987",No,No,No,No,No
UNLISTED INVESTMENTS,"Global Rights Fund II, L.P.",,"£4,041,765",No,No,No,No,No
UNLISTED INVESTMENTS,GMO Forestry Fund 9,,"£16,840,687",No,No,No,No,No
Equities,GOALS SOCCER CENTR ORD GBP0.0025,164474,"£361,843",No,No,No,No,No
Equities,GOOGLE INC CL A,25741,"£9,618,412",No,No,No,No,No
Equities,GOOGLE INC COM USD0.001 CL'C',35319,"£13,037,933",No,No,No,No,No
Equities,GPE BRUXELLES LAM NPV,68031,"£3,794,769",No,No,No,No,No
Equities,GPO MEXICO SA SER'B'COM NPV,1262000,"£2,510,022",No,No,No,No,No
Equities,GRAINGER W W INC COM,43000,"£6,827,572",No,No,No,No,No
Equities,GREGGS ORD GBP0.02,150000,"£1,530,000",No,No,No,No,No
Equities,GRUPO FINANCIERO BANORTE S A B DE C V,760000,"£2,972,084",No,No,No,No,No
UNLISTED INVESTMENTS,GS Vintage IV,,"£23,576,962",No,No,No,No,No
UNLISTED INVESTMENTS,GS Vintage V,,"£11,788,481",No,No,No,No,No
UNLISTED INVESTMENTS,GTI 7 Institutional Investors Co. Ltd,,"£16,431,617",No,No,No,No,No
Equities,GUDANG GARAM TBK IDR500,130000,"£341,412",No,No,No,No,No
Equities,HALYARD HEALTH INC COM,6937,"£229,909",No,No,No,No,No
Equities,HANG SENG BANK NPV,368300,"£4,479,989",No,No,No,No,No
Equities,HANKYU HANSHIN HOLDINGS INC NPV,1087000,"£4,530,473",No,No,No,No,No
Equities,HARBOURVEST GLOBAL PRIVATE EQUITY ORD RED A,4571079,"£41,569,260",No,No,No,No,No
Fixed Income,HARBOURVEST SENIOR ORD NPV,12565654,"£109,321",No,No,No,No,No
Equities,HARGREAVES LANSDOW ORD GBP0.004,493507,"£5,685,201",No,No,No,No,No
Equities,HARLEY DAVIDSON COM USD0.01,239598,"£9,801,810",No,No,No,No,No
Equities,HASBRO INC COM,83800,"£3,569,332",No,No,No,No,No
Equities,HAYS PLC ORD GBP0.01,475239,"£725,215",No,No,No,No,No
Equities,HCP INC COM REIT,32963,"£959,469",No,No,No,No,No
Equities,HEALTH NET INC COM,152100,"£6,196,705",No,No,No,No,No
Equities,HEINEKEN NV EUR1.60,56089,"£2,881,924",No,No,No,No,No
Equities,HELLERMANNTYTON GR ORD EUR0.01,500000,"£1,671,500",No,No,No,No,No
UNLISTED INVESTMENTS,Henderson PFI Secondary Fund LP,,"£8,000,000",No,No,No,No,No
Equities,HENGAN INTL HKD0.10,1235300,"£9,981,656",No,No,No,No,No
Equities,HERBALIFE LTD COM STK,43067,"£1,240,515",No,No,No,No,No
Equities,HESS CORP COM STK,73800,"£3,374,069",No,Yes,No,No,No
Equities,HEWLETT PACKARD CO COM,139900,"£2,936,534",No,No,No,No,No
Equities,HEXAGON AB SER'B'NPV,120395,"£2,881,415",No,No,No,No,No
Equities,HG CAPITAL TRUST ORD GBP0.25,447623,"£5,058,140",No,No,No,No,No
UNLISTED INVESTMENTS,Hg RPP2 (Hg Capital Renewable Power Partners 2),,"£10,852,139",No,No,No,No,No
Equities,HICL INFRASTRUCTURE COMPANY LIMITED ORD GBP0.0001,15919994,"£24,914,791",No,No,No,No,No
Equities,HIKMA PHARMACEUTIC ORD GBP0.10,118214,"£2,516,776",No,No,No,No,No
Equities,HIROSE ELECTRIC NPV,47040,"£4,103,447",No,No,No,No,No
Equities,HOLCIM LTD CHF2 (REGD),69000,"£3,474,179",No,No,No,No,No
Equities,HOMESERVE ORD GBP0.025,418502,"£1,598,678",No,No,No,No,No
Equities,HON HAI PRECISION TWD10,1777160,"£3,504,582",No,No,No,No,No
Equities,HONEYWELL INTL INC COM STK,79000,"£5,549,956",No,No,No,Yes,No
Equities,HONG KONG & CHINA GAS HKD0.25,2803900,"£4,355,894",No,No,No,No,No
Equities,HORMEL FOODS CORP COM,133500,"£5,110,680",No,No,No,No,No
Equities,HOWARD HUGHES CORP COM STOCK,6300,"£657,882",No,No,No,No,No
Equities,HOWDEN JOINERY GR ORD GBP0.10,780000,"£3,459,300",No,No,No,No,No
Equities,HSBC HLDGS ORD USD0.50(UK REG),950800,"£5,456,641",No,No,No,No,No
Equities,HUSKY ENERGY INC COM NPV,773764,"£10,638,580",No,Yes,No,No,No
Equities,HYUNDAI MOBIS KRW5000,21077,"£3,148,154",No,No,No,No,No
Equities,IG GROUP HLDGS ORD GBP0.00005,1621996,"£11,499,952",No,No,No,No,No
Equities,IGM FINANCIAL INC COM NPV,167000,"£3,997,975",No,No,No,No,No
Equities,ILL TOOL WKS INC COM,83700,"£5,477,008",No,No,No,No,No
Equities,IMMOEAST ENTITL COMSTK,23194,£0,No,No,No,No,No
Equities,IMPERIAL TOBACCO GBP0.10,677271,"£20,067,540",No,No,No,No,Yes
Equities,INCITEC PIVOT NPV,3281460,"£6,872,999",No,No,No,No,No
Equities,INDIVIOR PLC ORD USD0.10,255406,"£484,505",No,No,No,No,No
Equities,INFOSYS LIMITED ADR,205444,"£4,854,817",No,No,No,No,No
Equities,INGENICO EUR1,60160,"£4,452,537",No,No,No,No,No
Equities,INPEX CORPORATION NPV,180500,"£1,343,393",No,Yes,No,No,No
Equities,INTACT FINL CORP COM NPV,99000,"£5,012,347",No,No,No,No,No
Equities,INTEL CORP COM,352300,"£7,420,964",No,No,No,No,No
Equities,INTERCONTINENTAL EXCHANGE INC COM,27200,"£4,271,930",No,No,No,No,No
Equities,INTERNATIONAL BUSINESS MACHS CORP COM,92459,"£9,996,409",No,No,No,No,No
Equities,INTERPUBLIC GROUP COMPANIES INC COM,467000,"£6,955,453",No,No,No,No,No
Equities,INTERTEK GROUP ORD GBP0.01,276843,"£6,910,001",No,No,No,No,No
Equities,INTUITIVE SURGICAL INC COM NEW STK,1063,"£361,613",No,No,No,No,No
Equities,ITRON INC COM STK NPV,73600,"£1,809,633",No,No,No,No,No
Equities,ITV ORD GBP0.10,1226639,"£3,100,943",No,No,No,No,No
Equities,JAPAN EXCHANGE GROUP INC NPV,34600,"£677,312",No,No,No,No,No
Equities,JARDINE MATHESON HLDGS USD0.25(SING QUOTE),20800,"£885,524",No,No,No,No,No
Equities,JOHNSON & JOHNSON COM USD1,185843,"£12,592,757",No,No,No,No,No
Equities,JOHNSON MATTHEY ORD GBP 1.047619,32036,"£1,084,419",No,No,No,No,No
Equities,JULIUS BAER GRUPPE CHF0.02 (REGD),277155,"£9,372,444",No,No,No,No,No
Equities,JYSKE BANK A/S DKK10,4032,"£114,328",No,No,No,No,No
Equities,KAISER ALUM CORP COM PAR $0.01 COM PAR $0.01,110500,"£5,723,372",No,No,No,No,No
Equities,KAMIGUMI CO LTD NPV,56000,"£357,021",No,No,No,No,No
Equities,KAO CORP NPV,182600,"£6,153,040",No,No,No,No,No
Equities,KAZMUNAIGAS EXPLOR GDR EACH REPR 1/6 ORD'REGS',124167,"£1,028,800",No,No,No,No,No
Equities,KDDI CORP NPV,335400,"£5,125,330",No,No,No,No,No
Equities,KELLOGG CO COM USD0.25,148100,"£6,580,449",No,No,No,No,No
Equities,KEPCO PLANT SERVICE & ENGINEERING CO LTDKRW200,42606,"£2,522,246",No,No,No,No,No
Equities,KERRY GROUP 'A'ORD EUR0.125,114973,"£5,191,276",No,No,No,No,No
Equities,KIMBERLY-CLARK CORP COM,55500,"£4,005,197",No,No,No,No,No
UNLISTED INVESTMENTS,KKR 2006 Fund (Overseas) LTD,,"£30,313,237",No,No,No,No,No
UNLISTED INVESTMENTS,"KKR Atlanta Co-Invest, L.P.",,"£8,392,321",No,No,No,No,No
UNLISTED INVESTMENTS,"KKR European Infrastructure Investors II, L.P.",,"£18,086,898",No,No,No,No,No
UNLISTED INVESTMENTS,KKR European Infrastructure Ltd,,"£18,086,898",No,No,No,No,No
UNLISTED INVESTMENTS,"KKR Selena Co-Invest, L.P.",,"£20,100,000",No,No,No,No,No
Equities,KLABIN SA UNITS (1 COM & 4 PRF) COM UNIT,597000,"£2,288,793",No,No,No,No,No
Equities,KOHLS CORP COM,120815,"£6,368,322",No,No,No,No,No
Equities,KONINKLIJKE AHOLD,304313,"£4,038,893",No,No,No,No,No
Equities,KONINKLIJKE PHILIP EUR0.20,207818,"£3,969,275",No,No,No,No,No
Equities,KROGER CO COM,240100,"£12,400,449",No,No,No,No,No
Equities,KUEHNE&NAGEL INTL CHF1 (REGD),22200,"£2,224,781",No,No,No,Yes,No
Equities,L-3 COMMUNICATIONS HLDG CORP COM,58100,"£4,922,356",No,No,No,No,No
Equities,L'OREAL EUR0.20,35697,"£4,420,106",No,No,No,No,No
Equities,LAB CORP AMER HLDGS COM NEW,38400,"£3,260,314",No,No,No,No,No
Equities,LARSEN & TOUBRO SPON GDR EA REPR 1 ORD REG,92096,"£1,712,260",No,No,No,No,No
Equities,LEGRAND SA EUR4,38697,"£1,408,496",No,No,No,No,No
Equities,LEUCADIA NATL CORP COM,41100,"£616,846",No,No,No,No,No
Equities,LEXMARK INTL INC NEW CL A,121200,"£3,456,792",No,No,No,No,No
Equities,LG CHEMICAL KRW5000,35284,"£4,841,705",No,No,No,No,No
Equities,LINCOLN ELEC HLDGS INC COM,25229,"£1,110,790",No,No,No,No,No
Equities,LIVE NATION ENTERTAINMENT INC,147400,"£2,504,162",No,No,No,No,No
Equities,LOCKHEED MARTIN CORP COM,334101,"£45,693,854",No,No,No,Yes,No
Equities,LOEWS CORP COM,126500,"£3,476,726",No,No,No,No,No
Equities,LONDON STOCK EXCHANGE GROUP ORD GBP0.06918604,344518,"£8,457,917",No,No,No,No,No
Equities,LUKOIL OIL COMPANY SPON ADR,101172,"£3,152,041",No,Yes,No,No,No
Equities,M & T BK CORP COM,20591,"£1,761,297",No,No,No,No,No
UNLISTED INVESTMENTS,"Macquarie European Infrastructure Fund IV, L.P.",,"£10,852,139",No,No,No,No,No
Equities,MAHINDRA &MAHINDRA GDR-REP 1 ORD INR10 REG S,506033,"£6,510,765",No,No,No,No,No
Equities,MAN GROUP PLC ORD USD0.03428571428,3300000,"£6,718,800",No,No,No,No,No
Equities,MANITOBA TELECOM S COM NPV,426300,"£5,441,783",No,No,No,No,No
Equities,MARKEL CORP HOLDING CO COM,4019,"£2,082,489",No,No,No,No,No
Equities,MARSH & MCLENNAN CO'S INC COM,126300,"£4,772,090",No,No,No,No,No
Equities,MARTIN MARIETTA MATLS INC COM,12684,"£1,194,150",No,No,No,No,No
Equities,MASTERCARD INC CL A,140420,"£8,174,534",No,No,No,No,No
Equities,MAXIM INTEGRATED PRODS INC COM,105400,"£2,471,522",No,No,No,No,No
Equities,MC CORMICK & CO INC COM NON-VTG,109800,"£5,704,127",No,No,No,No,No
Equities,MC DONALDS CORP COM,93727,"£6,154,603",No,No,No,No,No
Equities,MCGRAW HILL FINANCIAL INC,27666,"£1,927,022",No,No,No,No,No
Equities,MCKESSON CORP,36300,"£5,532,418",No,No,No,No,No
Equities,MEDIATEK INC TWD10,259000,"£2,358,600",No,No,No,No,No
