asset_category,asset_name,holding,market_value,coal,oil_gas,arms,tobacco
Equities,BIG YELLOW GROUP (PLACING) ORD GBP0.10,239099,8160417,No,No,No,No
Equities,BK OF NOVA SCOTIA COM NPV,201600,605933,No,No,No,No
Equities,BM&FBOVESPA SA COM NPV,203900,7150232,No,No,No,No
Equities,BNP PARIBAS EUR2,425272,2566517,No,No,No,No
Equities,BODYCOTE PLC ORD GBP0.1727272,3466000,1542370,No,No,No,No
Equities,BOOHOO.COM PLC ORD GBP0.01,772640,21957948,No,No,No,No
Equities,BOVIS HOMES GROUP GBP0.50,255000,2375325,No,No,No,No
Equities,BP ORD USD0.25,3006370,10526805,No,Yes,No,No
Equities,BRAMBLES LTD NPV,172963,1121031,No,No,No,No
Equities,BREEDON AGGREGATES ORD NPV,950000,665000,No,No,No,No
Equities,BRINKER INTL INC COM,142800,4565269,No,No,No,No
Equities,BRITISH AMERICAN TOBACCO ORD GBP0.25,540497,22106327,No,No,No,Yes
Equities,BROOKFIELD ASSET LIMITED VTG SHARES CLASS A,204000,4954398,No,No,No,No
Equities,BT GROUP ORD GBP0.05,8959647,39467245,No,No,No,No
Equities,BURBERRY GROUP ORD GBP0.0005,188987,2579673,No,No,No,No
Equities,BURFORD CAPITAL LT ORD NPV,229000,645780,No,No,No,No
Equities,C H ROBINSON WORLDWIDE INC COM NEW COM NEW,33954,1753333,No,No,No,No
Equities,CAMPBELL SOUP CO COM,271700,12056653,No,No,No,No
Equities,CANADIAN IMP BANK COM NPV,72000,3756706,No,No,No,No
Equities,CANADIAN TIRE LTD CLASS'A'CUM NON-VTG COM NPV,15656,1136551,No,No,No,No
Equities,CANDOVER INVSTMNTS PLC GBP0.25,72466,113772,No,No,No,No
Equities,CANON INC NPV,735400,15245595,No,No,No,No
Equities,CAPE ORD GBP0.25,188179,422932,No,No,No,No
Equities,CAPITA PLC ORD GBP0.02066666,89658,933340,No,No,No,No
Equities,CARDINAL HLTH INC,93200,5312653,No,No,No,No
Equities,CARLSBERG SER'B'DKK20,15620,1035571,No,No,No,No
Equities,CARMAX INC COM,59412,2112261,No,No,No,No
Equities,CASINO GUICH-PERR EUR1.53,27000,1078470,No,No,No,No
Equities,CATERPILLAR INC COM,71000,3780443,No,No,No,No
Equities,CDN NATL RAILWAYS COM NPV,107400,4684622,No,No,No,No
Equities,CDN UTILITIES CLASS'A'COM NON-VTG NPV,176600,3453012,No,No,No,No
Equities,CENTENE CORP DEL COM,50443,2159094,No,No,No,No
Equities,CENTERPOINT ENERGY INC COM,256300,3730464,No,No,No,No
Equities,CENTRAL JAPAN RLWY NPV,9200,1131311,No,No,No,No
Equities,CENTRICA ORD GBP0.061728395,5082341,11567408,No,Yes,No,No
Equities,CF INDS HLDGS INC COM,102200,2226315,No,No,No,No
Equities,CHEVRON CORP COM,36900,2448961,No,yes,No,No
Equities,CHINA CONSTRUCTION BANK'H'CNY1,30722000,13613206,No,No,No,No
Equities,CHINA MOBILE LTD HKD0.10,3452382,26771200,No,No,No,No
Equities,CHINA STEEL CORP TWD10,11623000,5615757,No,No,No,No
Equities,CHUBB LTD ORD CHF24.15,141960,11777160,No,No,No,No
Equities,CHUNGHWA TELECOM TWD10,7863000,18612940,No,No,No,No
Equities,CIN FNCL CORP COM,113500,5158948,No,No,No,No
Equities,CISCO SYSTEMS INC,200075,3963081,No,No,No,No
Equities,CITIGROUP INC COM NEW COM NEW,197900,5747128,No,No,No,No
Equities,CITRIX SYS INC COM,21960,1200596,No,No,No,No
Equities,CK HUTCHISON HLDGS HKD1,231500,2091050,No,No,No,No
Equities,CK PROPERTY LTD HKD1,177000,791448,No,No,No,No
Equities,CLECO CORP,403425,15493677,No,No,No,No
Equities,CLP HOLDINGS NPV,2896500,18251722,Yes,No,No,No
Equities,CMS ENERGY CORP COM,226300,6678944,No,No,No,No
Equities,CNH INDUSTRIAL NV COM EUR0.01,1399400,6629271,No,No,No,No
Equities,COACH INC COM,147000,4099186,No,No,No,No
Equities,COCA COLA CO COM,149500,4823151,No,No,No,No
Equities,COCA-COLA AMATIL NPV,1465219,6908735,No,No,No,No
Equities,COCA-COLA ENTERPRISES INC NEW COM,380341,13413683,No,No,No,No
Equities,COCA-COLA HBC AG ORD (CDI),33940,501973,No,No,No,No
Equities,COGNIZANT TECH SOLUTIONS CORP CL A,31883,1390847,No,No,No,No
Equities,COLGATE-PALMOLIVE CO COM,213642,10502988,No,No,No,No
Equities,COMCAST CORP NEW-CL A,340475,14468945,No,No,No,No
Equities,COMPASS GROUP PLC ORD GBP0.10625,1467801,18024596,No,No,No,No
Equities,COMPUTACENTER ORD GBP0.075555,157696,1324646,No,No,No,No
Equities,CONAGRA FOODS INC,183200,5687320,No,No,No,No
Equities,CONOCOPHILLIPS COM,93200,2609963,No,Yes,No,No
Equities,CONS EDISON INC COM,108900,5806788,Yes,Yes,No,No
Equities,CONVIVIALITY PLC ORD GBP0.0002,191000,448850,No,No,No,No
Equities,COSTCO WHOLESALE CORP NEW COM,47900,5251237,No,No,No,No
Equities,CRANSWICK ORD GBP0.10,63000,1343790,No,No,No,No
Equities,CREDIT AGRICOLE SA EUR3,229500,1731866,No,No,No,No
Equities,CREDIT SUISSE AG CHF0.04(REGD),941756,9311986,No,No,No,No
Equities,CREST NICHOLSON HL ORD GBP0.05,520000,2927600,No,No,No,No
